https://www.linkedin.com/feed/ is a valid link, 17:27:33
https://www.linkedin.com/feed/ is a valid link, 17:27:34
https://www.linkedin.com/feed/ is a valid link, 17:27:35
https://www.linkedin.com/mynetwork/ is a valid link, 17:27:35
https://www.linkedin.com/jobs/ is a valid link, 17:27:35
https://www.linkedin.com/messaging/ is a valid link, 17:27:36
https://www.linkedin.com/notifications/ is a valid link, 17:27:37
https://www.linkedin.com/feed/# is a valid link, 17:27:37
https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true is a valid link, 17:27:39
https://www.linkedin.com/feed/ is a valid link, 17:27:40
https://www.linkedin.com/mynetwork/ is a valid link, 17:27:40
https://www.linkedin.com/jobs/ is a valid link, 17:27:41
https://www.linkedin.com/messaging/ is a valid link, 17:27:41
https://www.linkedin.com/notifications/ is a valid link, 17:27:42
https://www.linkedin.com/premium/products/?destRedirectURL=https%3A%2F%2Fwww.linkedin.com%2Fhome%2F%3FshowPremiumWelcomeBanner%3Dtrue&upsellOrderOrigin=premium_nav_upsell_text is a valid link, 17:27:43
https://www.linkedin.com/in/clark-kent-8aab171ab/ is a broken link, 17:27:43
https://www.linkedin.com/in/clark-kent-8aab171ab/guided/add-photo/photo/?contextType=FEED is a broken link, 17:27:43
https://www.linkedin.com/feed/# is a valid link, 17:27:44
https://www.linkedin.com/premium/products/?destRedirectURL=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F%3FshowPremiumWelcomeBanner%3Dtrue&upsellOrderOrigin=premium_homepage_identity_upsell is a valid link, 17:27:44
https://www.linkedin.com/feed/saved/ is a valid link, 17:27:45
https://www.linkedin.com/groups is a valid link, 17:27:46
https://www.linkedin.com/feed/following?filterType=channel&focused=true is a valid link, 17:27:46
https://www.linkedin.com/mynetwork/discover-hub/ is a valid link, 17:27:47
https://www.linkedin.com/post/new/ is a valid link, 17:27:47
https://www.linkedin.com/company/richard-allan-marketing/?miniCompanyUrn=urn%3Ali%3Afs_miniCompany%3A42433981 is a broken link, 17:27:48
https://www.linkedin.com/leadGenForm/urn:li:fs_leadGenForm:2503736?leadTrackingUrl=www%2Elinkedin%2Ecom%2Fcsp%2Fsct%3Fv%3D3%26lTrk%3DCwEAAAF0l1Aq1n74A4x4vBYQZJWChj_NBy5jAdJXORxXqNhPW4hdMe_j7iM_9fLi8eeRO43agI5grBNc2Nk8CWrMsRe4_ysBgl3h60BLjy9V1SvPOgi-V2N4z51lCWDjQ2C0UFistq96klVInYHOBRicSHzIZ_ITwwH77oj2Zkj4tPG7_YHSQMcMp3YLeAp-wyLtpjfDPpYPGnAFxIrZH1JVS0P7q_Qe0dUSXrGS6xqNIlz4OuDogPIflncUsZ8Hc5787t1myTZnvhBIeHxgwr-cYPyrgbrE7pX7c1gAVXNCX3OASUdcI_JTYAJ4NgufG7OxYeZvIhMkqaotKIOQI2jMduMh0SMZZNAqcxOlrTu5K_DHGHMQEbPyVuWhgXVLTTaeE82AX7lXzMRJdw3HyLH2Y3bW3n5scYsaeSEw0BuJayO49dthRxZrYGUcymAYSQZFanU4bnnSX4-BqD1tuTw6KyaLtTEpkDHUopJXhPuahx2PS5gSnSerAaU6IVm4e8ZAILO-5ccLCkMKUyldnGMUGLiK0MW6F82AxXX9Oaz3t-_yVELsGYo3HQGqzL1kyvVxIV-H8BSbxnI8wZbMg4_xKrn_Q0nLTwfemPejEBmMHVZ-9n18D5zZjHnF0YHK2gUqfYEWgUdNC0py0j9QZlrfZsWsDR5mbhbLB7y5Xxzr1KcZWBysC9iJr9Gytd_lmrl7vtpQ6sS5vX6wc_TTU9W9EncHkQ-jVbfODkdIZg08zGZITRbRWSa1Qw6-GhCmeKgz0bkTjxHC-FUPZXXrRs9pW0mxk7NhYft5fVx4iPY9MUoF2TzzZMTUCrSR-gVbernzhwxLUCPxKAGd1PDUj3eFuxMN0BcHYXeUYb4hsAAtkRm1XB5a9Ej-1ibPOFueqNyLtgIqDAq8aEY8oE9cDcqqPuEnFuabGsPzCdTRFH5QOo7S2sGxu-was0TYYbzV1rSj is a broken link, 17:27:48
https://www.linkedin.com/leadGenForm/urn:li:fs_leadGenForm:2503736?leadTrackingUrl=www%2Elinkedin%2Ecom%2Fcsp%2Fsct%3Fv%3D3%26lTrk%3DCwEAAAF0l1Aq1n74A4x4vBYQZJWChj_NBy5jAdJXORxXqNhPW4hdMe_j7iM_9fLi8eeRO43agI5grBNc2Nk8CWrMsRe4_ysBgl3h60BLjy9V1SvPOgi-V2N4z51lCWDjQ2C0UFistq96klVInYHOBRicSHzIZ_ITwwH77oj2Zkj4tPG7_YHSQMcMp3YLeAp-wyLtpjfDPpYPGnAFxIrZH1JVS0P7q_Qe0dUSXrGS6xqNIlz4OuDogPIflncUsZ8Hc5787t1myTZnvhBIeHxgwr-cYPyrgbrE7pX7c1gAVXNCX3OASUdcI_JTYAJ4NgufG7OxYeZvIhMkqaotKIOQI2jMduMh0SMZZNAqcxOlrTu5K_DHGHMQEbPyVuWhgXVLTTaeE82AX7lXzMRJdw3HyLH2Y3bW3n5scYsaeSEw0BuJayO49dthRxZrYGUcymAYSQZFanU4bnnSX4-BqD1tuTw6KyaLtTEpkDHUopJXhPuahx2PS5gSnSerAaU6IVm4e8ZAILO-5ccLCkMKUyldnGMUGLiK0MW6F82AxXX9Oaz3t-_yVELsGYo3HQGqzL1kyvVxIV-H8BSbxnI8wZbMg4_xKrn_Q0nLTwfemPejEBmMHVZ-9n18D5zZjHnF0YHK2gUqfYEWgUdNC0py0j9QZlrfZsWsDR5mbhbLB7y5Xxzr1KcZWBysC9iJr9Gytd_lmrl7vtpQ6sS5vX6wc_TTU9W9EncHkQ-jVbfODkdIZg08zGZITRbRWSa1Qw6-GhCmeKgz0bkTjxHC-FUPZXXrRs9pW0mxk7NhYft5fVx4iPY9MUoF2TzzZMTUCrSR-gVbernzhwxLUCPxKAGd1PDUj3eFuxMN0BcHYXeUYb4hsAAtkRm1XB5a9Ej-1ibPOFueqNyLtgIqDAq8aEY8oE9cDcqqPuEnFuabGsPzCdTRFH5QOo7S2sGxu-was0TYYbzV1rSj is a broken link, 17:27:48
https://www.linkedin.com/help/linkedin/answer/32504 is a valid link, 17:27:49
https://www.linkedin.com/company/plastiline-plasticos-ltda/ is a broken link, 17:27:49
https://www.linkedin.com/company/plastiline-plasticos-ltda/ is a broken link, 17:27:49
https://www.linkedin.com/in/christie-array-26557010b/ is a broken link, 17:27:49
https://www.linkedin.com/in/christie-array-26557010b/ is a broken link, 17:27:50
https://www.linkedin.com/in/dougmcmillon/ is a broken link, 17:27:50
https://www.linkedin.com/in/dougmcmillon/ is a broken link, 17:27:50
https://www.linkedin.com/mynetwork/discover-hub/ is a valid link, 17:27:51
https://www.linkedin.com/accessibility is a valid link, 17:27:51
https://www.linkedin.com/help/linkedin?trk=footer_d_flagship3_feed is a valid link, 17:27:52
https://www.linkedin.com/help/linkedin/answer/62931 is a valid link, 17:27:52
https://www.linkedin.com/ad/start?trk=n_nav_ads_rr is a valid link, 17:27:53
https://www.linkedin.com/mynetwork/import-contacts/ is a valid link, 17:27:54
